Assigned name,Compound_Name_GNPS
"13-Docosenamide, (Z)-","13-Docosenamide, (Z)-"
15356-74-8,15356-74-8
"1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene","1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene"
1-Palmitoylglycerophosphocholine,1-Palmitoylglycerophosphocholine
21345_1,21345_1
22-Hydoxy-2-hopen-1-one,22-Hydoxy-2-hopen-1-one
Tetraglyme,2372_Tetraglyme
2-Acetamido-2-Deoxy-D-Mannopyranose,2-Acetamido-2-Deoxy-D-Mannopyranose
2-HYDROXYOCTANOIC ACID,2-HYDROXYOCTANOIC ACID
3.10S-Hydroxypheophorbide a ,3.10S-Hydroxypheophorbide a 
300762-25-8,300762-25-8
39711-79-0,39711-79-0
4.Phaeophorbide a,4.Phaeophorbide a
46971-49-7,46971-49-7
4-amino-2-oxohydroquinoline-3-carbonitrile,4-amino-2-oxohydroquinoline-3-carbonitrile CollisionEnergy:102040
4-aminobutanoic acid_dodecanoic acid,4-aminobutanoic acid_dodecanoic acid
"4-hydroxy-3,5,6-trimethyl-2H-pyran-2-one","4-hydroxy-3,5,6-trimethyl-2H-pyran-2-one"
4-HYDROXY-3-METHOXYPHENYLGLYCOL,4-HYDROXY-3-METHOXYPHENYLGLYCOL
5-aminopentanoic acid_(E)-but-2-enoic acid,5-aminopentanoic acid_(E)-but-2-enoic acid
5'-Deoxy-5'-(methylsulfinyl)adenosine,5'-Deoxy-5'-(methylsulfinyl)adenosine
5-Methylquinolin-8-ol,5-Methylquinolin-8-ol
630407-66-8,630407-66-8
6-Gingerol,6-Gingerol
6-Methoxyluteolin,6-Methoxyluteolin
713139-25-4,713139-25-4
7512-17-6,7512-17-6
"9,12-Octadecadiynoic Acid","9,12-Octadecadiynoic Acid"
99207-33-7,99207-33-7
AC1L1X1Z,AC1L1X1Z CollisionEnergy:102040
ACARBOSE,ACARBOSE
ADIPATE,ADIPATE
AEG(o-16:2/16:0),AEG(o-16:2/16:0)
AEG(o-16:2/18:2),AEG(o-16:2/18:2)
AKOS037480294,AKOS037480294
Ala-C17:1,Ala-C17:1
Amafolone,Amafolone
aphidicolin,aphidicolin
APR-246,APR-246
Asparagine butyl ester,Asparagine butyl ester
Asperlactone,Asperlactone
B08A23,B08A23
Batebulast,Batebulast
beta-Boswellic acid,beta-Boswellic acid
Brefonalol,Brefonalol
C2:0 N-Acyl 5-aminovaleric acid,C2:0 N-Acyl 5-aminovaleric acid
Cabrillostatin,Cabrillostatin
CAMPTOTHECIN,CAMPTOTHECIN
Phenylalanine-C20:4,Candidate Phenylalanine-C20:4 (delta mass:286.2292)
Serotonin-C2:0,Candidate Serotonin-C2:0 (delta mass:42.0106)
Tau-C10:0,Candidate Taurine-C10:0 (delta mass:154.1356)
chloroquine,chloroquine
Cholyl_beta-Alanine,Cholyl_beta-Alanine
Citronellyl acetate,Citronellyl acetate
Cocaethylene,Cocaethylene
cocamidopropyl betaine,CocamidoprpylBetaine
Contaminant vial septum ThermoFisher C5000-44B,Contaminant vial septum ThermoFisher C5000-44B
Contaminant vial septum ThermoFisher C5000-44B_2,Contaminant vial septum ThermoFisher C5000-44B_2
Contaminant vial septum ThermoFisher C5000-44B_3,Contaminant vial septum ThermoFisher C5000-44B_3
Contaminants septum vial Thermo C4000-53 and C4000-54 serie,Contaminants septum vial Thermo C4000-53 and C4000-54 serie
D-20133,D-20133
Delorazepam,Delorazepam
Des-tert-butyl-Irgarol,Des-tert-butyl-Irgarol_putative
DEET,Diethyltoluamide
dihydrocapsaicin,Dihydrocapsaicin
dihydrocapsaicin,dihydrocapsaicin
diphenhydramine,diphenhydramine
Domoic Acid,Domoic Acid
Domoic Acid,domoic acid CollisionEnergy:102040
emorfazone,emorfazone
Falintolol,Falintolol
HARMANE,HARMANE CollisionEnergy:102040
Hexylene glycol,Hexylene glycol
Glu Phe,H-gamma-glu-phe-oh
histidine_tetradecanoyl chloride,histidine_tetradecanoyl chloride
Imazapyr,Imazapyr
INDOXYL SULFATE,INDOXYL SULFATE
Ingavirin,Ingavirin
Irgarol,Irgarol
Isovalerylcarnitine,Isovalerylcarnitine - 30.00 eV
Isoxaben_Na-Adduct,Isoxaben_Na-Adduct
Kainic Acid,Kainic Acid
L-aspartate_dodecanoic acid,L-aspartate_dodecanoic acid
Lauryl diethanolamide,Lauryl diethanolamide
L-histidine_dodecanoic acid,L-histidine_dodecanoic acid
L-leucine_(E)-but-2-enoic acid,L-leucine_(E)-but-2-enoic acid
L-lysine_(E) -dec-2-enoyl chloride,L-lysine_(E) -dec-2-enoyl chloride
Loliolide,Loliolide
Lorlatinib,Lorlatinib
PHENYLALANINE,L-phenylalanine
L-phenylalanine_dodecanoic acid,L-phenylalanine_dodecanoic acid
Tyrosine,L-TYROSINE - 40.0 eV
Lyso DGCC (14:0),Lyso DGCC (14:0)
Lyso PC (16:1),Lyso PC (16:1)
Lyso PC (20:5),Lyso PC (20:5)
M50367,M50367
MANNITOL,MANNITOL - 30.0 eV
 Diethylene glycol monobutyl ether,Massbank: Diethylene glycol monobutyl ether|2-(2-butoxyethoxy)ethanol
Myristamidopropyl betaine,Massbank: Myristamidopropyl betaine|carboxymethyl-dimethyl-[3-(tetradecanoylamino)propyl]azanium
Diacetylmorphine,"Massbank:AU153303 Diacetylmorphine (Heroin)|Diacetylmorphine|[(4R,4aR,7S,7aR,12bS)-9-acetyloxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-yl] acetate"
6-Monoacetylmorphine,"Massbank:AU157406 6-Monoacetylmorphine|(9-hydroxy-3-methyl-2,4,4a,7,7a,13-hexahydro-1H-4,12-methanobenzofuro[3,2-e]isoquinoline-7-yl) acetate"
triphenyl phosphate,Massbank:AU246402 Triphenylphosphate|triphenyl phosphate
"4-Hydroxy-1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidine","Massbank:AU252106 4-Hydroxy-1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidine|1-Piperidineethanol, 4-hydroxy-2,2,6,6-tetramethyl-|1-(2-hydroxyethyl)-2,2,6,6-tetramethylpiperidin-4-ol"
"2-benzhydryloxy-N,N-dimethylethanamine","Massbank:AU267102 Diphenhydramine|2-benzhydryloxy-N,N-dimethylethanamine"
Tetraethylene glycol monododecyl ether,"Massbank:AU406506 3,6,9,12-Tetraoxatetracosan-1-ol|Tetraethylene glycol monododecyl ether|2-[2-[2-(2-dodecoxyethoxy)ethoxy]ethoxy]ethanol"
Tyrosine,Massbank:CE000230 Tyrosine
Ibuprofen,Massbank:EA020310 Ibuprofen|(S)-(+)-Ibuprofen| (2S)-2-(4-isobutylphenyl)propionic acid
Caffeine,"Massbank:EA030304 Caffeine|1,3,7-trimethyl-3,7-dihydro-1H-purine-2,6-dione|1,3,7-trimethylpurine-2,6-dione"
Morphine,"Massbank:EA274410 Morphine|(5alpha,6alpha)-17-Methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol"
Cocaine,"Massbank:EA281710 Cocaine| (1S,3S,4R,5R)-3-benzoyloxy-8-methyl-8-azabicyclo[3.2.1]octane-4-carboxylic acid methyl ester"
Rimantadine,Massbank:EQ314906 Rimantadine|1-(1-adamantyl)ethanamine
Butylbenzyl phthalate,"Massbank:EQ359702 Benzyl-butyl-phthalate|Butylbenzyl phthalate|1,2-Benzenedicarboxylic acid, butyl phenylmethyl ester"
Diethyl phthalate,"Massbank:EQ367202 Diethyl-phthalate|Diethyl phthalate|Diethyl benzene-1,2-dicarboxylate"
4-Methylphthalic anhydride,"Massbank:LU019401 4-Methylphthalic anhydride|5-methyl-2-benzofuran-1,3-dione"
Lauryldiethanolamine,Massbank:LU030803 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol
Lauryldiethanolamine,Massbank:LU030804 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol
triphenyl phosphate,Massbank:LU049102 Triphenyl phosphate
3-octoxypropan-1-amine,Massbank:LU053603 3-(Octyloxy)propan-1-amine|3-octoxypropan-1-amine
Imazapic,Massbank:LU061602 Imazapic|5-methyl-2-(4-methyl-5-oxo-4-propan-2-yl-1H-imidazol-2-yl)pyridine-3-carboxylic acid
N-[3-(Dimethylamino)propyl]dodecanamide,Massbank:LU071402 N-[3-(Dimethylamino)propyl]dodecanamide
Azacyclotridecan-2-one,Massbank:LU080702 Azacyclotridecan-2-one
"1,3-Diphenylguanidine","Massbank:LU084502 1,3-Diphenylguanidine|1,2-diphenylguanidine"
Pentaethylene glycol,Massbank:LU086203 Pentaethylene glycol|2-[2-[2-[2-(2-hydroxyethoxy)ethoxy]ethoxy]ethoxy]ethanol
Isoprocarb,Massbank:LU114702 Isoprocarb|(2-propan-2-ylphenyl) N-methylcarbamate
"2-Norbornene-5,6-dicarboxylic anhydride","Massbank:LU122002 2-Norbornene-5,6-dicarboxylic anhydride|5-Norbornene-2,3-dicarboxylic anhydride|4-oxatricyclo[5.2.1.02,6]dec-8-ene-3,5-dione"
"2-Norbornene-5,6-dicarboxylic anhydride","Massbank:LU122004 2-Norbornene-5,6-dicarboxylic anhydride|5-Norbornene-2,3-dicarboxylic anhydride|4-oxatricyclo[5.2.1.02,6]dec-8-ene-3,5-dione"
Bis[2-(2-butoxyethoxy)ethyl] hexandioate,Massbank:LU125402 Bis[2-(2-butoxyethoxy)ethyl] hexandioate|Bis[2-(2-butoxyethoxy)ethyl] adipate|bis[2-(2-butoxyethoxy)ethyl] hexanedioate
Isoxaben,"Massbank:LU134502 Isoxaben|2,6-dimethoxy-N-[3-(3-methylpentan-3-yl)-1,2-oxazol-5-yl]benzamide"
6-Gingerol,Massbank:NA002994 [6]-Gingerol|5-hydroxy-1-(4-hydroxy-3-methoxyphenyl)decan-3-one
Glutamyltyrosine,Massbank:PR311057 Glutamyltyrosine
Denatonium,"Massbank:TUE00282 Denatonium|N-Benzyl-2-[(2,6-dimethylphenyl)amino]-N,N-diethyl-2-oxoethanaminium"
Triethylcitrate,"MassbankEU:SM878101 Triethylcitrate|triethyl 2-hydroxypropane-1,2,3-tricarboxylate"
N-Butylbenzenesulfonamide,MassbankEU:SM878901 N-Butylbenzenesulfonamide
Tris(2-chloroethyl)phosphate,MassbankEU:SM879001 Tris(2-chloroethyl)phosphate
Diphenylphosphate,MassbankEU:SM881501 Diphenylphosphate|Diphenyl hydrogen phosphate
Melibiose,Melibiose
MEOBENTINE,MEOBENTINE
Methamphetamine,Methamphetamine
methyl (Z)-tetradec-9-enoate,methyl (Z)-tetradec-9-enoate
METHYL STEARATE,METHYL STEARATE
Methyl-Domoic Acid,Methyl-Domoic Acid
Methylthioadenosine,Methylthioadenosine CollisionEnergy:102040
Benzenesulfonimidic acid,MoNA:857189 Benzenesulfonimidic acid
Butylbenzyl phthalate,MoNA:864588 BUTYLBENZYL PHTHALATE
MS_Contaminant_Sodium_Formate_Cluster,MS_Contaminant_Sodium_Formate_Cluster
MS_Contaminant_Sodium_Formate_Cluster2,MS_Contaminant_Sodium_Formate_Cluster2
MS_Contaminant_Sodium_Formate_Cluster3,MS_Contaminant_Sodium_Formate_Cluster3
(E)-undec-2-enedioic acid,NCGC00168824-02!(E)-undec-2-enedioic acid
"2,4-dihydroxyheptadecyl acetate","NCGC00178646-02!2,4-dihydroxyheptadecyl acetate [IIN-based: Match]"
"(2Z)-2-[(E)-11-hydroxy-6-(hydroxymethyl)-2,4,8,10-tetramethyldodec-2-enylidene]-4-methylpentanedioic acid","NCGC00380316-01!(2Z)-2-[(E)-11-hydroxy-6-(hydroxymethyl)-2,4,8,10-tetramethyldodec-2-enylidene]-4-methylpentanedioic acid"
"(3E)-4-(1,2,4-Trihydroxy-2,6,6-trimethylcyclohexyl)-3-buten-2-one","NCGC00384973-01_C13H22O4_(3E)-4-(1,2,4-Trihydroxy-2,6,6-trimethylcyclohexyl)-3-buten-2-one"
Nonoxynol-9,Nonoxynol-9
NPS-2143,NPS-2143 (Chimeric precursor selection)
oleic acid,oleic acid CollisionEnergy:205060
OMEGA-HYDROXYDODECANOATE,OMEGA-HYDROXYDODECANOATE
Oxaceprol,Oxaceprol
oxyphenonium,oxyphenonium
Palythine,Palythine
Panaxatriol,Panaxatriol
Papyracillic acid A,Papyracillic acid A
PC(18:2/0:0),PC(18:2/0:0); [M+H]+ C26H51N1O7P1
PC(P-16:0/20:5),PC(P-16:0/20:5); [M+H]+ C44H79N1O7P1
PD160561,PD160561
PD160561,PD160561
PE(16:1/0:0),PE(16:1/0:0); [M+H]+ C21H43N1O7P1
Phe-ala,Phe-ala
PHENYLALANINE,PHENYLALANINE
Phenylalanine methyl ester,Phenylalanine methyl ester
Polidocanol,Polidocanol
Panaxatriol,Protopanaxatriol
Quinoline-2-carboxylic acid,Quinoline-2-carboxylic acid
RIDOGREL,RIDOGREL
SCHEMBL658597,SCHEMBL658597
SCHEMBL7091005,SCHEMBL7091005
Shinorine,Shinorine
SN-GLYCERO-3-PHOSPHOCHOLINE,SN-GLYCERO-3-PHOSPHOCHOLINE
Sodium Formate,Sodium Formate
Sodium Formate2,Sodium Formate2
Sodium Tetradecyl Sulfate,Sodium Tetradecyl Sulfate
Sorbitane Monopalmitate,Sorbitane Monopalmitate - Polysorbate 40 in-source fragment
Sorbitane Monostearate,Sorbitane Monostearate - Polysorbate 60 in-source fragment
"(Z,E)-Tetradeca-9,12-dienol","Spectral Match to (Z,E)-Tetradeca-9,12-dienol from NIST14"
.alpha.-CMBHC,Spectral Match to .alpha.-CMBHC from NIST14
1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine,Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14
Irgarol,"Spectral Match to 1,3,5-Triazine-2,4-diamine, N-cyclopropyl-N'-(1,1-dimethylethyl)-6-(methylthio)- from NIST14"
"1,3-Dicyclohexylurea","Spectral Match to 1,3-Dicyclohexylurea from NIST14"
12(S)-Hydroxy-16-heptadecynoic acid,Spectral Match to 12(S)-Hydroxy-16-heptadecynoic acid from NIST14
"13-Docosenamide, (Z)-","Spectral Match to 13-Docosenamide, (Z)- from NIST14"
"9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid","Spectral Match to 13-Keto-9Z,11E-octadecadienoic acid from NIST14"
"9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid","Spectral Match to 13S-Hydroxy-9Z,11E,15Z-octadecatrienoic acid from NIST14"
15-OxoEDE,Spectral Match to 15-OxoEDE from NIST14
1-Hexadecanoyl-sn-glycerol,Spectral Match to 1-Hexadecanoyl-sn-glycerol from NIST14
1-Myristoyl-sn-glycero-3-phosphocholine,Spectral Match to 1-Myristoyl-sn-glycero-3-phosphocholine from NIST14
1-Oleoyl-2-acetyl-sn-glycerol,Spectral Match to 1-Oleoyl-2-acetyl-sn-glycerol from NIST14
"2,4,7,9-Tetramethyl-5-decyne-4,7-diol","Spectral Match to 2,4,7,9-Tetramethyl-5-decyne-4,7-diol from NIST14"
"2,6-Di-tert-butyl-4-hydroxymethylphenol","Spectral Match to 2,6-Di-tert-butyl-4-hydroxymethylphenol from NIST14"
"2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)-","Spectral Match to 2-Butanone, 4-(2,6,6-trimethyl-2-cyclohexen-1-yl)- from NIST14"
"3,5-Dimethyladamantan-1-amine","Spectral Match to 3,5-Dimethyladamantan-1-amine from NIST14"
9(10)-EpOME,Spectral Match to 9(10)-EpOME from NIST14
9-OxoOTrE,Spectral Match to 9-OxoOTrE from NIST14
"9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid","Spectral Match to 9S-Hydroxy-10E,12Z,15Z-octadecatrienoic acid from NIST14"
"9Z,11E,13E-Octadecatrienoic acid methyl ester","Spectral Match to 9Z,11E,13E-Octadecatrienoic acid methyl ester from NIST14"
Adenosine,Spectral Match to Adenosine from NIST14
Benzoylecgonine,Spectral Match to Benzoylecgonine from NIST14
Benzyldodecyldimethylammonium,Spectral Match to Benzyldodecyldimethylammonium from NIST14
Benzyltetradecyldimethylammonium,Spectral Match to Benzyltetradecyldimethylammonium from NIST14
Chicoric acid,Spectral Match to Chicoric acid from NIST14
"cis-11,14-Eicosadienoic acid","Spectral Match to cis-11,14-Eicosadienoic acid from NIST14"
"cis-7,10,13,16-Docosatetraenoic acid","Spectral Match to cis-7,10,13,16-Docosatetraenoic acid from NIST14"
cis-7-Hexadecenoic acid methyl ester,Spectral Match to cis-7-Hexadecenoic acid methyl ester from NIST14
cis-9-Hexadecenoic acid,Spectral Match to cis-9-Hexadecenoic acid from NIST14
"Conjugated linoleic Acid (10E,12Z)","Spectral Match to Conjugated linoleic Acid (10E,12Z) from NIST14"
Curcumol,Spectral Match to Curcumol from NIST14
Decaethylene glycol,Spectral Match to Decaethylene glycol from NIST14
"Decynediol, tetramethyl, di(2-hydroxyethyl) ether","Spectral Match to Decynediol, tetramethyl, di(2-hydroxyethyl) ether from NIST14"
"Didodecyl 3,3'-thiodipropionate oxide","Spectral Match to Didodecyl 3,3'-thiodipropionate oxide from NIST14"
Diethyl phthalate,Spectral Match to Diethyl phthalate from NIST14
DEET,Spectral Match to Diethyltoluamide from NIST14
Diisodecyl phthalate,Spectral Match to Diisodecyl phthalate from NIST14
Dimethyl sebacate,Spectral Match to Dimethyl sebacate from NIST14
Dioctyl phthalate,Spectral Match to Dioctyl phthalate from NIST14
Glu Phe,Spectral Match to Glu Phe from METLIN
Glycerol 1-stearate,Spectral Match to Glycerol 1-stearate from NIST14
Heptapropylene glycol,Spectral Match to Heptapropylene glycol from NIST14
Hexaethylene glycol,Spectral Match to Hexaethylene glycol from NIST14
Ile-Glu,Spectral Match to Ile-Glu from NIST14
Perillaldehyde,Spectral Match to Jasmine lactone from NIST14
Lactulose,Spectral Match to Lactulose from NIST14
Lauric acid leelamide,Spectral Match to Lauric acid leelamide from NIST14
Val-Leu,Spectral Match to Leu-Val from NIST14
L-Tryptophan,Spectral Match to L-Tryptophan from NIST14
L-Tyrosine,Spectral Match to L-Tyrosine from NIST14
Melibiose,Spectral Match to Melibiose from NIST14
Methyl hexadecanoate,Spectral Match to Methyl hexadecanoate from NIST14
Monoerucin,Spectral Match to Monoerucin from NIST14
Monoolein,Spectral Match to Monoolein from NIST14
Monopalmitolein (9c),Spectral Match to Monopalmitolein (9c) from NIST14
"N-(5Z,8Z,11Z-Eicosatrienoyl)ethanolamine","Spectral Match to N-(5Z,8Z,11Z-Eicosatrienoyl)ethanolamine from NIST14"
N.epsilon.-Acetyl-L-lysine,Spectral Match to N.epsilon.-Acetyl-L-lysine from NIST14
N-Acetyl-D-glucosamine,Spectral Match to N-Acetyl-D-glucosamine from NIST14
Nonaethylene glycol,Spectral Match to Nonaethylene glycol from NIST14
Octadecanamide,Spectral Match to Octadecanamide from NIST14
Palmitamide,Spectral Match to Palmitamide from NIST14
Palmitelaidic acid,Spectral Match to Palmitelaidic acid from NIST14
Pentapropylene glycol ,Spectral Match to Pentapropylene glycol from NIST14
Perillaldehyde,Spectral Match to Perillaldehyde from NIST14
Phe-ala,Spectral Match to Phe-Ala from NIST14
Pinolenic acid,Spectral Match to Pinolenic acid from NIST14
"Propanoic acid, 3,3'-thiobis-, didodecyl ester","Spectral Match to Propanoic acid, 3,3'-thiobis-, didodecyl ester from NIST14"
p-tert-Octylphenol hexaglycol ether ,Spectral Match to p-tert-Octylphenol hexaglycol ether from NIST14
p-tert-Octylphenol tetraglycol ether,Spectral Match to p-tert-Octylphenol pentaglycol ether from NIST14
p-tert-Octylphenol tetraglycol ether,Spectral Match to p-tert-Octylphenol tetraglycol ether from NIST14
PyroGlu-Val,Spectral Match to PyroGlu-Val from NIST14
Ricinoleic acid,Spectral Match to Ricinoleic acid methyl ester from NIST14
Sebacic acid monomethyl ester,Spectral Match to Sebacic acid monomethyl ester from NIST14
Ser-Phe,Spectral Match to Ser-Phe from NIST14
Tetrabutylammonium,Spectral Match to Tetrabutylammonium from NIST14
Tetraethylene glycol,Spectral Match to Tetraethylene glycol from NIST14
Tri(propylene glycol) butyl ether,Spectral Match to Tri(propylene glycol) butyl ether from NIST14
Tributyl phosphate,Spectral Match to Tributyl phosphate from NIST14
Tris(2-butoxyethyl) phosphate,Spectral Match to Tris(2-butoxyethyl) phosphate from NIST14
Undecaethylene glycol,Spectral Match to Undecaethylene glycol from NIST14
Val-Leu,Spectral Match to Val-Leu from NIST14
SQDG(16:0/16:1),SQDG(14:0/18:1); [M+NH4]+ C41H80N1O12S1
SQDG(16:0/16:0),SQDG(16:0/16:0); [M+NH4]+ C41H82N1O12S1
SQDG(16:0/16:1),SQDG(16:0/16:1); [M+NH4]+ C41H80N1O12S1
SQDG(16:0/18:1),SQDG(16:0/18:1); [M+NH4]+ C43H84N1O12S1
SQDG(16:0/18:2),SQDG(16:0/18:2); [M+NH4]+ C43H82N1O12S1
Stearyldiethanolamine,Stearyldiethanolamine
STROBILACTONE A,STROBILACTONE A
sultiame,sultiame
Tau-C10:0,Tau-C10:0
Tetradecanoic acid,Tetradecanoic acid
TG(18:2/18:2/18:2),TG(18:2/18:2/18:2); [M+NH4]+ C57H102N1O6
thymol,thymol
tirofiban,tirofiban
trans-Zeatin,trans-Zeatin
Traumatic Acid,Traumatic Acid - 40.0 eV
Tribuzone,Tribuzone
Tyrosine methyl ester,Tyrosine methyl ester
Vanillin,Vanillin - 30.0 eV
Vitamin E acetate,Vitamin E acetate
VITAMIN K1,VITAMIN K1 CollisionEnergy:102040
VS1150000,VS1150000 - 40.0 eV
Zoloperone,Zoloperone
9-Octadecenamide,Spectral Match to 9-Octadecenamide from NIST14
"9-Octadecenamide, (Z)-","Spectral Match to 9-Octadecenamide, (Z)- from NIST14"
